Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
HEW32	HEW32	aboveground_biomass	aboveground_biomass	225.3858362	4444	4444	4444
SEW08	SEW8	aboveground_biomass	aboveground_biomass	519.8744207	4444	4444	4444
SEW42	SEW42	aboveground_biomass	aboveground_biomass	231.9155712	4444	4444	4444
SEW37	SEW37	aboveground_biomass	aboveground_biomass	351.5801031	4444	4444	4444
AEW38	AEW38	aboveground_biomass	aboveground_biomass	104.1238859	4444	4444	4444
AEW25	AEW25	aboveground_biomass	aboveground_biomass	71.71245336	4444	4444	4444
HEW46	HEW46	aboveground_biomass	aboveground_biomass	368.6606181	4444	4444	4444
AEW02	AEW2	aboveground_biomass	aboveground_biomass	258.5494842	4444	4444	4444
AEW05	AEW5	aboveground_biomass	aboveground_biomass	272.8322887	4444	4444	4444
HEW04	HEW4	aboveground_biomass	aboveground_biomass	21.12199421	4444	4444	4444
SEW47	SEW47	aboveground_biomass	aboveground_biomass	418.108774	4444	4444	4444
SEW38	SEW38	aboveground_biomass	aboveground_biomass	287.2712011	4444	4444	4444
SEW45	SEW45	aboveground_biomass	aboveground_biomass	497.1619522	4444	4444	4444
AEW36	AEW36	aboveground_biomass	aboveground_biomass	160.4071958	4444	4444	4444
AEW42	AEW42	aboveground_biomass	aboveground_biomass	230.6821614	4444	4444	4444
AEW03	AEW3	aboveground_biomass	aboveground_biomass	287.0172843	4444	4444	4444
HEW34	HEW34	aboveground_biomass	aboveground_biomass	393.7836371	4444	4444	4444
SEW44	SEW44	aboveground_biomass	aboveground_biomass	250.1275583	4444	4444	4444
HEW48	HEW48	aboveground_biomass	aboveground_biomass	363.8833357	4444	4444	4444
AEW26	AEW26	aboveground_biomass	aboveground_biomass	76.76404929	4444	4444	4444
AEW39	AEW39	aboveground_biomass	aboveground_biomass	218.7573036	4444	4444	4444
AEW12	AEW12	aboveground_biomass	aboveground_biomass	284.0264662	4444	4444	4444
HEW02	HEW2	aboveground_biomass	aboveground_biomass	236.6884152	4444	4444	4444
SEW49	SEW49	aboveground_biomass	aboveground_biomass	173.8428766	4444	4444	4444
AEW11	AEW11	aboveground_biomass	aboveground_biomass	351.2577637	4444	4444	4444
SEW11	SEW11	aboveground_biomass	aboveground_biomass	184.5426363	4444	4444	4444
AEW04	AEW4	aboveground_biomass	aboveground_biomass	191.1971609	4444	4444	4444
SEW48	SEW48	aboveground_biomass	aboveground_biomass	344.6528136	4444	4444	4444
SEW04	SEW4	aboveground_biomass	aboveground_biomass	289.0027468	4444	4444	4444
HEW28	HEW28	aboveground_biomass	aboveground_biomass	318.4346775	4444	4444	4444
SEW17	SEW17	aboveground_biomass	aboveground_biomass	237.4229958	4444	4444	4444
SEW36	SEW36	aboveground_biomass	aboveground_biomass	286.8885173	4444	4444	4444
SEW43	SEW43	aboveground_biomass	aboveground_biomass	293.813356	4444	4444	4444
HEW37	HEW37	aboveground_biomass	aboveground_biomass	399.2900404	4444	4444	4444
SEW46	SEW46	aboveground_biomass	aboveground_biomass	501.214105	4444	4444	4444
SEW39	SEW39	aboveground_biomass	aboveground_biomass	227.7273603	4444	4444	4444
HEW26	HEW26	aboveground_biomass	aboveground_biomass	355.470141	4444	4444	4444
HEW36	HEW36	aboveground_biomass	aboveground_biomass	314.3215379	4444	4444	4444
HEW49	HEW49	aboveground_biomass	aboveground_biomass	285.6618059	4444	4444	4444
HEW05	HEW5	aboveground_biomass	aboveground_biomass	287.0797676	4444	4444	4444
HEW35	HEW35	aboveground_biomass	aboveground_biomass	344.2600615	4444	4444	4444
AEW07	AEW7	aboveground_biomass	aboveground_biomass	346.3760849	4444	4444	4444
SEW14	SEW14	aboveground_biomass	aboveground_biomass	169.2971721	4444	4444	4444
